document_id,meeting_id,title,document_type,file_name,file_url,upload_date,doc_date,notes
66,66,Village Council Meeting Minutes - 2021-03-24,Minutes,03242021 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/03242021%20minutes.pdf,,2021-03-24,
67,67,Village Council Meeting Minutes - 2015-03-27,Minutes,03272015 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/03272015%20minutes.pdf,,2015-03-27,
68,68,Village Council Meeting Minutes - 2016-03-30,Minutes,033016 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/033016%20Council%20Meeting%20Approved%20Minutes.pdf,,2016-03-30,
69,69,Village Council Meeting Minutes - 2025-04-02,Minutes,04022025.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/04022025.pdf,,2025-04-02,
70,70,Village Council Meeting Minutes - 2024-04-03,Minutes,04032024 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/04032024%20minutes.pdf,,2024-04-03,
71,71,Village Council Meeting Minutes - 2017-04-05,Minutes,040517 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2017%20Minutes/Council/040517%20Council%20Meeting%20Approved%20Minutes.pdf,,2017-04-05,
72,72,Village Council Meeting Minutes - 2023-04-05,Minutes,04052023 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/04052023%20minutes.pdf,,2023-04-05,
73,73,Village Council Meeting Minutes - 2015-04-06,Minutes,040615 Regular Meeting Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/040615%20Regular%20Meeting%20Minutes.pdf,,2015-04-06,
74,74,Village Council Meeting Minutes - 2016-04-06,Minutes,040616 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/040616%20Council%20Meeting%20Approved%20Minutes.pdf,,2016-04-06,
75,75,Village Council Meeting Minutes - 2022-04-06,Minutes,04062022 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/COUNCIL/04062022%20minutes.pdf,,2022-04-06,
