ProjectName,Board,MeetingFormat,MeetingType,MeetingDate,ArcGIS_Date,MeetingYear,Status,AgendaItemID,AgendaItemNumber,AgendaItemType,ProjectTitle,Summary,ActionTaken,Outcome,MotionText,ProposedBy,SecondedBy,VoteResult,ApplicantName,ApplicationID,District,LocationName,Location,Latitude,Longitude,GeocodeConfidence,StaffCode,Filename,Document_Link,RecordType
The Residences at Brooks Town Center (also known as Coconut Pointe Residences at the Brooks) - Final Plan Approval (DCI2020-E001) (District 6) 9.95-acre parcel at the northwest corner of Coconut Road and Three Oaks Parkway. Request for Final Plan...,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,7/11/2023,7/11/2023,2023,Accepted,48,1,Resolution,The Residences at Brooks Town Center (also known as Coconut Pointe Residences at the Brooks) - Final Plan Approval (DCI2020-E001) (District 6) 9.95-acre parcel at the northwest corner of Coconut Road and Three Oaks Parkway. Request for Final Plan...,The Residences at Brooks Town Center (also known as Coconut Pointe Residences at the Brooks) - Final Plan Approval (DCI2020-E001) (District 6) 9.95-acre parcel at the northwest corner of Coconut Road and Three Oaks Parkway. Request for Final Plan Approval. Action: Approved Resolution 2023,Approved Resolution 2023,Approved Resolution 2023,Approved Resolution 2023,,,Detected,,DCI2020-E001,6,"Coconut Pointe Residences at Brooks Town Center site, Estero, FL","Coconut Pointe Residences at Brooks Town Center site, Estero, FL",26.39711,-81.78531,1,,20230711 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/07112023%20%20%20%20PZDB%20Minutes.pdf,AgendaItemLocation
"Estero Shadow Wood Community Association - Coconut Road Guardhouse Remodel (LDO2024-E008) (District 6) The guardhouse is located at the entrance to Shadow Wood on Oakwilde Boulevard, north of Coconut Road, and east of Via Coconut Point. Applicant...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,5/14/2024,5/14/2024,2024,Accepted,74,2,Vote,"Estero Shadow Wood Community Association - Coconut Road Guardhouse Remodel (LDO2024-E008) (District 6) The guardhouse is located at the entrance to Shadow Wood on Oakwilde Boulevard, north of Coconut Road, and east of Via Coconut Point. Applicant...","Estero Shadow Wood Community Association - Coconut Road Guardhouse Remodel (LDO2024-E008) (District 6) The guardhouse is located at the entrance to Shadow Wood on Oakwilde Boulevard, north of Coconut Road, and east of Via Coconut Point. Applicant seeks to. Action: Approved the Limited Development Order with option 1 for the color scheme",Approved the Limited Development Order with option 1 for the color scheme,Approved the Limited Development Order with option 1 for the color scheme,Approved the Limited Development Order with option 1 for the color scheme,,,See minutes,,LDO2024-E008,6,"Coconut Road & Oakwilde Boulevard, Estero, FL","Coconut Road & Oakwilde Boulevard, Estero, FL",26.39858,-81.79886401,1,,20240514 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/05142024%20PZDB%20Minutes.pdf,AgendaItemLocation
The Brooks Commons Club - Pickleball Court Expansion Limited Development Order (LDO2022-E051) (District 6) Applicant is seeking approval for the redevelopment of a portion of the community's property on Coconut Road adjacent to the Commons Club. T...,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,5/9/2023,5/9/2023,2023,Accepted,43,2,Vote,The Brooks Commons Club - Pickleball Court Expansion Limited Development Order (LDO2022-E051) (District 6) Applicant is seeking approval for the redevelopment of a portion of the community's property on Coconut Road adjacent to the Commons Club. T...,"The Brooks Commons Club - Pickleball Court Expansion Limited Development Order (LDO2022-E051) (District 6) Applicant is seeking approval for the redevelopment of a portion of the community's property on Coconut Road adjacent to the Commons Club. The park'. Action: Approved the Development with the following conditions: to delegate where the bicycle spaces will be in proximity to the courts, they have three months to remediate any sound violations, the sound violations will be set off Ansi sta...","Approved the Development with the following conditions: to delegate where the bicycle spaces will be in proximity to the courts, they have three months to remediate any sound violations, the sound violations will be set off Ansi standards of 55 decibels, and staff will work with the applicant to meet the lighting requirements","Approved the Development with the following conditions: to delegate where the bicycle spaces will be in proximity to the courts, they have three months to remediate any sound violations, the sound violations will be set off Ansi standards of 55 decibels, and staff will work with the applicant to meet the lighting requirements","Approved the Development with the following conditions: to delegate where the bicycle spaces will be in proximity to the courts, they have three months to remediate any sound violations, the sound violations will be set off Ansi standards of 55 decibels, and staff will work with the applicant to meet the lighting requirements",,,See minutes,,LDO2022-E051,6,"Commons Club at The Brooks, Estero, FL","Commons Club at The Brooks, Estero, FL",26.3974648,-81.7889557,1,,20230509 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/05092023%20%20%20PZDB%20Minutes.pdf,AgendaItemLocation
The Brooks Commons Club - Pickleball Expansion (Amendment to LDO2022-E051) (District 6) The Commons Club is located at 9920 Coconut Road. The courts are west of the club along Coconut Road. Applicant is seeking to revise the original plan presente...,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,5/14/2024,5/14/2024,2024,Accepted,76,4,Vote,The Brooks Commons Club - Pickleball Expansion (Amendment to LDO2022-E051) (District 6) The Commons Club is located at 9920 Coconut Road. The courts are west of the club along Coconut Road. Applicant is seeking to revise the original plan presente...,The Brooks Commons Club - Pickleball Expansion (Amendment to LDO2022-E051) (District 6) The Commons Club is located at 9920 Coconut Road. The courts are west of the club along Coconut Road. Applicant is seeking to revise the original plan presented to the. Action: Approved the Limited Development Order Amendment with staff stipulations,Approved the Limited Development Order Amendment with staff stipulations,Approved the Limited Development Order Amendment with staff stipulations,Approved the Limited Development Order Amendment with staff stipulations,,,See minutes,,LDO2022-E051,6,"Commons Club at The Brooks, Estero, FL","Commons Club at The Brooks, Estero, FL",26.3974648,-81.7889557,1,,20240514 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/05142024%20PZDB%20Minutes.pdf,AgendaItemLocation
"Corkscrew Pines Infrastructure - Development Order (DOS2021-E008) (District 5) located on the south side of Corkscrew Road, east of Stoneybrook Golf Drive and west of Firehouse Lane. Applicant is proposing to construct the backbone infrastructure...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,3/14/2023,3/14/2023,2023,Accepted,38,1,Vote,"Corkscrew Pines Infrastructure - Development Order (DOS2021-E008) (District 5) located on the south side of Corkscrew Road, east of Stoneybrook Golf Drive and west of Firehouse Lane. Applicant is proposing to construct the backbone infrastructure...","Corkscrew Pines Infrastructure - Development Order (DOS2021-E008) (District 5) located on the south side of Corkscrew Road, east of Stoneybrook Golf Drive and west of Firehouse Lane. Applicant is proposing to construct the backbone infrastructure for futu. Action: Approved the infrastructure plan contingent upon the authorization of the CDD and the completion of the utility sign-offs",Approved the infrastructure plan contingent upon the authorization of the CDD and the completion of the utility sign-offs,Approved the infrastructure plan contingent upon the authorization of the CDD and the completion of the utility sign-offs,Approved the infrastructure plan contingent upon the authorization of the CDD and the completion of the utility sign-offs,,,See minutes,,DOS2021-E008,5,"Corkscrew Pines project site, Estero, FL","Corkscrew Pines project site, Estero, FL",26.4383,-81.7603,1,,20230314 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/03142023%20%20PZDB%20Minutes.pdf,AgendaItemLocation
"Corkscrew Pines Self-Storage - Development Order (DOS2022-E008) (District 5) Located on the south side of Corkscrew Road, east of Stoneybrook Golf Drive and west of Firehouse Lane. Applicant is proposing to construct 3 storage buildings totaling ±...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,5/9/2023,5/9/2023,2023,Accepted,42,1,Vote,"Corkscrew Pines Self-Storage - Development Order (DOS2022-E008) (District 5) Located on the south side of Corkscrew Road, east of Stoneybrook Golf Drive and west of Firehouse Lane. Applicant is proposing to construct 3 storage buildings totaling ±...","Corkscrew Pines Self-Storage - Development Order (DOS2022-E008) (District 5) Located on the south side of Corkscrew Road, east of Stoneybrook Golf Drive and west of Firehouse Lane. Applicant is proposing to construct 3 storage buildings totaling ±150,000 . Action: Approved the Development with the conditions as follows: columns 7, 8, 13, and 14 has an 8-inch projection forward, There will be a minimum 4-foot additional depth in the center of the building columns 8 through 11, the landscape bu...","Approved the Development with the conditions as follows: columns 7, 8, 13, and 14 has an 8-inch projection forward, There will be a minimum 4-foot additional depth in the center of the building columns 8 through 11, the landscape buffer will be clustered and add depth and break up the linear run of the landscape buffer in general, the tower height is going to have a vertical differential minimum of two feet from the parapet of the building, the plants around the lift station and the garbage dumpster are going to be increased to a 48-inch minimum size, the cluster of trees at the west end of the building will go to a 14 to 16-foot minimum, and the west side of the building was going to have red maples instead of cypress, and we were going to add foundation plantings along the east, west, and north side of building one","Approved the Development with the conditions as follows: columns 7, 8, 13, and 14 has an 8-inch projection forward, There will be a minimum 4-foot additional depth in the center of the building columns 8 through 11, the landscape buffer will be clustered and add depth and break up the linear run of the landscape buffer in general, the tower height is going to have a vertical differential minimum of two feet from the parapet of the building, the plants around the lift station and the garbage dumpster are going to be increased to a 48-inch minimum size, the cluster of trees at the west end of the building will go to a 14 to 16-foot minimum, and the west side of the building was going to have red maples instead of cypress, and we were going to add foundation plantings along the east, west, and north side of building one","Approved the Development with the conditions as follows: columns 7, 8, 13, and 14 has an 8-inch projection forward, There will be a minimum 4-foot additional depth in the center of the building columns 8 through 11, the landscape buffer will be clustered and add depth and break up the linear run of the landscape buffer in general, the tower height is going to have a vertical differential minimum of two feet from the parapet of the building, the plants around the lift station and the garbage dumpster are going to be increased to a 48-inch minimum size, the cluster of trees at the west end of the building will go to a 14 to 16-foot minimum, and the west side of the building was going to have red maples instead of cypress, and we were going to add foundation plantings along the east, west, and north side of building one",,,See minutes,,DOS2022-E008,5,"Corkscrew Pines project site, Estero, FL","Corkscrew Pines project site, Estero, FL",26.4383,-81.7603,1,,20230509 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/05092023%20%20%20PZDB%20Minutes.pdf,AgendaItemLocation
"Culver's Coconut Point - Development Order (DOS) (District 6) 8400 Murano Del Lago Drive, Tract 3C, Coconut Point Mixed Planned Development, vacant lot on the southeast corner of US 41 and Pelican Colony Boulevard, just north of Extra Space Storag...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,7/25/2023,7/25/2023,2023,Accepted,53,3,Vote,"Culver's Coconut Point - Development Order (DOS) (District 6) 8400 Murano Del Lago Drive, Tract 3C, Coconut Point Mixed Planned Development, vacant lot on the southeast corner of US 41 and Pelican Colony Boulevard, just north of Extra Space Storag...","Culver's Coconut Point - Development Order (DOS) (District 6) 8400 Murano Del Lago Drive, Tract 3C, Coconut Point Mixed Planned Development, vacant lot on the southeast corner of US 41 and Pelican Colony Boulevard, just north of Extra Space Storage. No ex. Action: Approved the Development Order for a4,052 square foot Fast Food","Approved the Development Order for a4,052 square foot Fast Food","Approved the Development Order for a4,052 square foot Fast Food","Approved the Development Order for a4,052 square foot Fast Food",,,See minutes,,,6,"Culver's Coconut Point site, Estero, FL","Culver's Coconut Point site, Estero, FL",26.43176444,-81.78539889,1,,20230725 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/07252023%20PZDB%20Minutes.pdf,AgendaItemLocation
"Downtown Estero Infrastructure- Development Order (DOS2022- E006) (District 2) Located on the east side of US 41, north of Broadway and east of the Broadway Shoppes. - Applicant seeks to construct the backbone infrastructure for a 34-acre Mixed Pl...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,4/11/2023,4/11/2023,2023,Accepted,39,1,Vote,"Downtown Estero Infrastructure- Development Order (DOS2022- E006) (District 2) Located on the east side of US 41, north of Broadway and east of the Broadway Shoppes. - Applicant seeks to construct the backbone infrastructure for a 34-acre Mixed Pl...","Downtown Estero Infrastructure- Development Order (DOS2022- E006) (District 2) Located on the east side of US 41, north of Broadway and east of the Broadway Shoppes. - Applicant seeks to construct the backbone infrastructure for a 34-acre Mixed Planned De. Action: Approved the Infrastructure Development Order (DOS2022-E006) to include a requirement of a fence as part of their buffer adjacent to Cypress Bend",Approved the Infrastructure Development Order (DOS2022-E006) to include a requirement of a fence as part of their buffer adjacent to Cypress Bend,Approved the Infrastructure Development Order (DOS2022-E006) to include a requirement of a fence as part of their buffer adjacent to Cypress Bend,Approved the Infrastructure Development Order (DOS2022-E006) to include a requirement of a fence as part of their buffer adjacent to Cypress Bend,,,See minutes,,DOS2022-E006,2,"Downtown Estero project site, east of US 41 and north of Broadway Avenue East, Estero, FL","Downtown Estero project site, east of US 41 and north of Broadway Avenue East, Estero, FL",26.4432,-81.807,1,,20230411 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/04112023%20%20PZDB%20Minutes.pdf,AgendaItemLocation
"Downtown Estero Multi-Family Townhomes - Development Order, DOS2023-E009 (District 4) Multi-Family Townhomes located in the 34-acre Downtown Estero Development, east of US 41 and north of Broadway East. Final Action Agenda/Minutes are supplemented...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2/13/2024,2/13/2024,2024,Accepted,70,1,Vote,"Downtown Estero Multi-Family Townhomes - Development Order, DOS2023-E009 (District 4) Multi-Family Townhomes located in the 34-acre Downtown Estero Development, east of US 41 and north of Broadway East. Final Action Agenda/Minutes are supplemented...","Downtown Estero Multi-Family Townhomes - Development Order, DOS2023-E009 (District 4) Multi-Family Townhomes located in the 34-acre Downtown Estero Development, east of US 41 and north of Broadway East. Final Action Agenda/Minutes are supplemented by audi. Action: Approved Development Order with condition to provide updated construction information in the Construction Activities Management Plan within 30 days of Planning Zoning and Design Board approval",Approved Development Order with condition to provide updated construction information in the Construction Activities Management Plan within 30 days of Planning Zoning and Design Board approval,Approved Development Order with condition to provide updated construction information in the Construction Activities Management Plan within 30 days of Planning Zoning and Design Board approval,Approved Development Order with condition to provide updated construction information in the Construction Activities Management Plan within 30 days of Planning Zoning and Design Board approval,,,See minutes,,DOS2023-E009,4,"Downtown Estero project site, east of US 41 and north of Broadway Avenue East, Estero, FL","Downtown Estero project site, east of US 41 and north of Broadway Avenue East, Estero, FL",26.4432,-81.807,1,,20240213 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/02132024%20PZDB%20Minutes.pdf,AgendaItemLocation
"Downtown Estero Residential - Development Order (DOS2022-E009) (District 2) Mixed Use Planned Development (MPD) on a 34-acre site, located on the east side of US 41, north of Broadway and east of the Broadway Shoppes. Applicant seeks to construct...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,4/11/2023,4/11/2023,2023,Accepted,40,2,Vote,"Downtown Estero Residential - Development Order (DOS2022-E009) (District 2) Mixed Use Planned Development (MPD) on a 34-acre site, located on the east side of US 41, north of Broadway and east of the Broadway Shoppes. Applicant seeks to construct...","Downtown Estero Residential - Development Order (DOS2022-E009) (District 2) Mixed Use Planned Development (MPD) on a 34-acre site, located on the east side of US 41, north of Broadway and east of the Broadway Shoppes. Applicant seeks to construct 300 mult. Action: Approved the residential Development Order (DOS2022-E009)",Approved the residential Development Order (DOS2022-E009),Approved the residential Development Order (DOS2022-E009),Approved the residential Development Order (DOS2022-E009),,,See minutes,,DOS2022-E009,2,"Downtown Estero project site, east of US 41 and north of Broadway Avenue East, Estero, FL","Downtown Estero project site, east of US 41 and north of Broadway Avenue East, Estero, FL",26.4432,-81.807,1,,20230411 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/04112023%20%20PZDB%20Minutes.pdf,AgendaItemLocation
Eagle Walk (Coastal Village) Monument Signs (LDO2025-E020) (District 6) Located north of Estero Parkway between Three Oaks Parkway and I-75. No ex parte communication or conflicts of interest were noted. Board Member Jones and Vice Chairman Sheele...,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,7/8/2025,7/8/2025,2025,Accepted,113,1,Vote,Eagle Walk (Coastal Village) Monument Signs (LDO2025-E020) (District 6) Located north of Estero Parkway between Three Oaks Parkway and I-75. No ex parte communication or conflicts of interest were noted. Board Member Jones and Vice Chairman Sheele...,Eagle Walk (Coastal Village) Monument Signs (LDO2025-E020) (District 6) Located north of Estero Parkway between Three Oaks Parkway and I-75. No ex parte communication or conflicts of interest were noted. Board Member Jones and Vice Chairman Sheeley disclo. Action: Approved the monument sign subject to further negotiations on the location,Approved the monument sign subject to further negotiations on the location,Approved the monument sign subject to further negotiations on the location,Approved the monument sign subject to further negotiations on the location,,,See minutes,,LDO2025-E020,6,"Estero Parkway & Three Oaks Parkway, Estero, FL","Estero Parkway & Three Oaks Parkway, Estero, FL",26.449389,-81.78894604,1,,20250708 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/07082005%20%20%20PZDB%20Minutes.pdf,AgendaItemLocation
Estero Townhomes EPD - Rezoning (DCI2024-E003) (District 4) 21.4 acres located on the northeast corner of Corkscrew Road and Sandy Lane formerly known as The Colonnade. Applicant requests a rezoning for a2-story townhome development with 171 townh...,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,7/9/2024,7/9/2024,2024,Accepted,84,2,Vote,Estero Townhomes EPD - Rezoning (DCI2024-E003) (District 4) 21.4 acres located on the northeast corner of Corkscrew Road and Sandy Lane formerly known as The Colonnade. Applicant requests a rezoning for a2-story townhome development with 171 townh...,"Estero Townhomes EPD - Rezoning (DCI2024-E003) (District 4) 21.4 acres located on the northeast corner of Corkscrew Road and Sandy Lane formerly known as The Colonnade. Applicant requests a rezoning for a2-story townhome development with 171 townhome unit. Action: Approved continuance to the August 13, 2024, Planning Zoning and Design Board Meeting","Approved continuance to the August 13, 2024, Planning Zoning and Design Board Meeting","Approved continuance to the August 13, 2024, Planning Zoning and Design Board Meeting","Approved continuance to the August 13, 2024, Planning Zoning and Design Board Meeting",,,See minutes,,DCI2024-E003,4,"Estero Townhomes EPD site, 9301 Corkscrew Road, Estero, FL","Estero Townhomes EPD site, 9301 Corkscrew Road, Estero, FL",26.43226486,-81.80115545,1,,20240709 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/07092024%20PZDB%20Minutes.pdf,AgendaItemLocation
Estero Townhomes EPD - Rezoning (DCI2024-E003) (District 4) 21.4 acres located on the northeast corner of Corkscrew Road and Sandy Lane formerly known as The Colonnade. Continued from July 9th meeting. Applicant requests a rezoning for a2-story to...,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,9/10/2024,9/10/2024,2024,Accepted,87,3,Unknown,Estero Townhomes EPD - Rezoning (DCI2024-E003) (District 4) 21.4 acres located on the northeast corner of Corkscrew Road and Sandy Lane formerly known as The Colonnade. Continued from July 9th meeting. Applicant requests a rezoning for a2-story to...,Estero Townhomes EPD - Rezoning (DCI2024-E003) (District 4) 21.4 acres located on the northeast corner of Corkscrew Road and Sandy Lane formerly known as The Colonnade. Continued from July 9th meeting. Applicant requests a rezoning for a2-story townhome d. Action: Recommended approval by Council of the Rezoning with staff conditions,Recommended approval by Council of the Rezoning with staff conditions,Recommended approval by Council of the Rezoning with staff conditions,,,,See minutes,July 9th meeting. Applicant requests a rezoning,DCI2024-E003,4,"Estero Townhomes EPD site, 9301 Corkscrew Road, Estero, FL","Estero Townhomes EPD site, 9301 Corkscrew Road, Estero, FL",26.43226486,-81.80115545,1,,20240910 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/09102024%20PZDB%20Minutes.pdf,AgendaItemLocation
Home2 Suites - Zoning Amendment (DCI2024-E005) (District 6) The proposed hotel site is located in Coconut Point Mall south of the movie theater on the northwest corner of Via Coconut and Via Monte Carlo Way. The property is currently used as a par...,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,12/10/2024,12/10/2024,2024,Accepted,98,2,Public Comment,Home2 Suites - Zoning Amendment (DCI2024-E005) (District 6) The proposed hotel site is located in Coconut Point Mall south of the movie theater on the northwest corner of Via Coconut and Via Monte Carlo Way. The property is currently used as a par...,Home2 Suites - Zoning Amendment (DCI2024-E005) (District 6) The proposed hotel site is located in Coconut Point Mall south of the movie theater on the northwest corner of Via Coconut and Via Monte Carlo Way. The property is currently used as a parking lot. Action: No formal action recorded. Home2 Suites - Zoning Amendment (DCI2024-E005) (District 6) The proposed hotel site is located in Coconut Point Mall south of the movie theater on the northwest corner of Via Coconut and Via Monte Carlo Wa...,"No formal action recorded. Home2 Suites - Zoning Amendment (DCI2024-E005) (District 6) The proposed hotel site is located in Coconut Point Mall south of the movie theater on the northwest corner of Via Coconut and Via Monte Carlo Way. The property is currently used as a parking lot. Staff Presentation/Comments Mary Gibbs, Community Development Director Presentation/Information by Lee Shuman, Peachtree Group Jeremy M. Pettit, P.E., Ingenium Enterprises, Inc - Civil Engineering & Planning Christopher Allred AIA, The RBA Group Board Questions or Comments Board Members Wallace, Paivandy, Williams, Tatooles, Vice Chairman Sheeley, and Presentation/Information by Tyler Lamkey, Riverside Investment & Development Planning Zoning and Design Board Minutes - December 10, 2024 Page 4 of 4 Public Comment None","No formal action recorded. Home2 Suites - Zoning Amendment (DCI2024-E005) (District 6) The proposed hotel site is located in Coconut Point Mall south of the movie theater on the northwest corner of Via Coconut and Via Monte Carlo Way. The property is currently used as a parking lot. Staff Presentation/Comments Mary Gibbs, Community Development Director Presentation/Information by Lee Shuman, Peachtree Group Jeremy M. Pettit, P.E., Ingenium Enterprises, Inc - Civil Engineering & Planning Christopher Allred AIA, The RBA Group Board Questions or Comments Board Members Wallace, Paivandy, Williams, Tatooles, Vice Chairman Sheeley, and Presentation/Information by Tyler Lamkey, Riverside Investment & Development Planning Zoning and Design Board Minutes - December 10, 2024 Page 4 of 4 Public Comment None",,,,,,DCI2024-E005,6,"Home2 Suites proposed hotel site, Coconut Point Mall, Estero, FL","Home2 Suites proposed hotel site, Coconut Point Mall, Estero, FL",26.40327778,-81.80861111,1,,20241210 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/12102024%20PZDB%20Minutes.pdf,AgendaItemLocation
Home2 Suites - Zoning and DRI Amendment (DCI2024-E005) (District 6) The 2.37-acre hotel site is south of the movie theater in the Coconut Point Mall on the northwest corner of Via Coconut and Via Monte Carlo Way. The property is currently used as...,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2/11/2025,2/11/2025,2025,Accepted,104,3,Vote,Home2 Suites - Zoning and DRI Amendment (DCI2024-E005) (District 6) The 2.37-acre hotel site is south of the movie theater in the Coconut Point Mall on the northwest corner of Via Coconut and Via Monte Carlo Way. The property is currently used as...,Home2 Suites - Zoning and DRI Amendment (DCI2024-E005) (District 6) The 2.37-acre hotel site is south of the movie theater in the Coconut Point Mall on the northwest corner of Via Coconut and Via Monte Carlo Way. The property is currently used as a parkin. Action: Approved recommendation to Council to approve zoning and DRI amendment based on the staff report,Approved recommendation to Council to approve zoning and DRI amendment based on the staff report,Approved recommendation to Council to approve zoning and DRI amendment based on the staff report,Approved recommendation to Council to approve zoning and DRI amendment based on the staff report,,,See minutes,,DCI2024-E005,6,"Home2 Suites proposed hotel site, Coconut Point Mall, Estero, FL","Home2 Suites proposed hotel site, Coconut Point Mall, Estero, FL",26.40327778,-81.80861111,1,,20250211 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/02112005%20PZDB%20Minutes.pdf,AgendaItemLocation
"Coconut Point Marketplace Signs - Administrative Zoning Amendment (ADD2023-E003) (District 6) A 10 acre-site located east of US 41, north of Sweetwater Ranch Boulevard and south of Via Rapallo Drive. This site is part of the Coconut Point DRI/MPD....",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,8/22/2023,8/22/2023,2023,Accepted,56,2,Vote,"Coconut Point Marketplace Signs - Administrative Zoning Amendment (ADD2023-E003) (District 6) A 10 acre-site located east of US 41, north of Sweetwater Ranch Boulevard and south of Via Rapallo Drive. This site is part of the Coconut Point DRI/MPD....","Coconut Point Marketplace Signs - Administrative Zoning Amendment (ADD2023-E003) (District 6) A 10 acre-site located east of US 41, north of Sweetwater Ranch Boulevard and south of Via Rapallo Drive. This site is part of the Coconut Point DRI/MPD. Develop. Action: Approved Administrative Zoning Amendment with staff conditions",Approved Administrative Zoning Amendment with staff conditions,Approved Administrative Zoning Amendment with staff conditions,Approved Administrative Zoning Amendment with staff conditions,,,See minutes,,ADD2023-E003,6,"Marketplace at Coconut Point, 22780 Via Villagio, Estero, FL","Marketplace at Coconut Point, 22780 Via Villagio, Estero, FL",26.41365779,-81.81149386,1,,20230822 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/08222023%20PZDB%20Minutes.pdf,AgendaItemLocation
Zoning Amendment - Miromar Outlets Signage (DCI2021-E002) (District 5) Miromar Outlets is located at the intersection of Corkscrew Road and Ben Hill Griffin Parkway. Applicant is proposing a Zoning Amendment to the Commercial Planned Development t...,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,4/12/2022,4/12/2022,2022,Accepted,4,2,Vote,Zoning Amendment - Miromar Outlets Signage (DCI2021-E002) (District 5) Miromar Outlets is located at the intersection of Corkscrew Road and Ben Hill Griffin Parkway. Applicant is proposing a Zoning Amendment to the Commercial Planned Development t...,Zoning Amendment - Miromar Outlets Signage (DCI2021-E002) (District 5) Miromar Outlets is located at the intersection of Corkscrew Road and Ben Hill Griffin Parkway. Applicant is proposing a Zoning Amendment to the Commercial Planned Development to adopt . Action: Motion fails with 4-4 tie vote,Motion fails with 4-4 tie vote,Motion fails with 4-4 tie vote,Motion fails with 4-4 tie vote,,,See minutes,,DCI2021-E002,5,"Miromar Outlets, Estero, FL","Miromar Outlets, Estero, FL",26.438084,-81.772808,1,,20220412 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/04122022%20PZDB%20Minutes.pdf,AgendaItemLocation
"Summercrest previously known as Toll Brothers Development Order (DOS2024- E008) (District 4) Applicant seeks to develop 153 townhome units, amenities, utilities and infrastructure. Plans include a public use area. No ex parte communication or conf...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,9/9/2025,9/9/2025,2025,Accepted,117,1,Vote,"Summercrest previously known as Toll Brothers Development Order (DOS2024- E008) (District 4) Applicant seeks to develop 153 townhome units, amenities, utilities and infrastructure. Plans include a public use area. No ex parte communication or conf...","Summercrest previously known as Toll Brothers Development Order (DOS2024- E008) (District 4) Applicant seeks to develop 153 townhome units, amenities, utilities and infrastructure. Plans include a public use area. No ex parte communication or conflicts of. Action: Approved the Development Order with staff stipulations",Approved the Development Order with staff stipulations,Approved the Development Order with staff stipulations,Approved the Development Order with staff stipulations,,,See minutes,,DOS2024-E008,4,"Summercrest / Estero Townhomes site, 9301 Corkscrew Road, Estero, FL","Summercrest / Estero Townhomes site, 9301 Corkscrew Road, Estero, FL",26.43226486,-81.80115545,1,,20250909 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/09092005%20%20%20PZDB%20Minutes.pdf,AgendaItemLocation
